物料清单数据导出
导出时间: 2026-06-08T14:28:19.966529
总记录数: 72
================================================================================

record_id	物料名称	物料代号	生产商	物料级别	文件名称	质量标准	工艺名称
recvfvULJkaH1z	[{'text': '氯化钠', 'type': 'text'}]	[{'text': 'S023', 'type': 'text'}]	[{'text': '西陇科学股份有限公司', 'type': 'text'}]	[{'text': 'AR级', 'type': 'text'}]	[{'text': '氯化钠(AR级)质量标准', 'type': 'text'}]	[{'text': 'SPC-RM-S023', 'type': 'text'}]	['发酵', '提取', '纯化']
recvfvULJkX1P0	[{'text': '盐酸', 'type': 'text'}]	[{'text': 'L025', 'type': 'text'}]	[{'text': '西陇科学股份有限公司', 'type': 'text'}]	[{'text': 'AR级', 'type': 'text'}]	[{'text': '盐酸(AR级)质量标准', 'type': 'text'}]	[{'text': 'SPC-RM-L025', 'type': 'text'}]	['发酵', '提取', '纯化']
recvfvULJkpRVS	[{'text': '纯化水', 'type': 'text'}]	[{'text': 'L001', 'type': 'text'}]	[{'text': '丽珠集团新北江制药股份有限公司', 'type': 'text'}]	[{'text': 'N/A', 'type': 'text'}]	[{'text': '纯化水质量标准', 'type': 'text'}]	[{'text': 'SPC-RM-L001', 'type': 'text'}]	['发酵', '提取', '纯化']
recvfvULJkvRjA	[{'text': '消泡剂（GPE）', 'type': 'text'}]	[{'text': 'L006', 'type': 'text'}]	[{'text': '江苏利宏科技发展有限公司', 'type': 'text'}]	[{'text': '食品级', 'type': 'text'}]	[{'text': '消泡剂(GPE)质量标准', 'type': 'text'}]	[{'text': 'SPC-RM-L006', 'type': 'text'}]	['发酵']
recvfvULJkJp1s	[{'text': '氨水', 'type': 'text'}]	[{'text': 'L007', 'type': 'text'}]	[{'text': '西陇科学股份有限公司', 'type': 'text'}]	[{'text': 'AR级', 'type': 'text'}]	[{'text': '氨水(AR级)质量标准', 'type': 'text'}]	[{'text': 'SPC-RM-L007', 'type': 'text'}]	['发酵', '纯化']
recvfvULJkeOqh	[{'text': '氢氧化钠', 'type': 'text'}]	[{'text': 'S019', 'type': 'text'}]	[{'text': '西陇科学股份有限公司', 'type': 'text'}]	[{'text': 'AR级', 'type': 'text'}]	[{'text': '氢氧化钠(AR级)质量标准', 'type': 'text'}]	[{'text': 'SPC-RM-S019', 'type': 'text'}]	['发酵', '提取', '纯化']
recvfwvK5gsjjG	[{'text': '肠激酶', 'type': 'text'}]	[{'text': 'L009', 'type': 'text'}]	[{'text': '丽珠集团新北江制药股份有限公司', 'type': 'text'}]	[{'text': 'N/A', 'type': 'text'}]	[{'text': '肠激酶质量标准', 'type': 'text'}]	[{'text': 'SPC-RM-L009', 'type': 'text'}]	['提取']
recvfwvK5gJtwJ	[{'text': '二水合磷酸二氢钠(磷酸二氢钠)', 'type': 'text'}]	[{'text': 'S020', 'type': 'text'}]		[{'text': 'AR级', 'type': 'text'}]	[{'text': '二水合磷酸二氢钠(磷酸二氢钠)(AR级)质量标准', 'type': 'text'}]	[{'text': 'SPC-RM-S020', 'type': 'text'}]	['提取']
recvfwvK5gfRdc	[{'text': '十二水合磷酸氢二钠(磷酸氢二钠)', 'type': 'text'}]	[{'text': 'S021', 'type': 'text'}]		[{'text': 'CP级', 'type': 'text'}]	[{'text': '十二水合磷酸氢二钠(磷酸氢二钠)(CP级)质量标准', 'type': 'text'}]	[{'text': 'SPC-RM-S021', 'type': 'text'}]	['提取']
recvfwvK5gvYbp	[{'text': '曲拉通 X-100 （OP 乳化剂）', 'type': 'text'}]	[{'text': 'L010', 'type': 'text'}]		[{'text': 'CP级', 'type': 'text'}]	[{'text': '曲拉通X-100(OP乳化剂)(CP级)质量标准', 'type': 'text'}]	[{'text': 'SPC-RM-L010', 'type': 'text'}]	['提取']
recvfwvK5gunFU	[{'text': '三（羟甲基）氨基甲烷', 'type': 'text'}]	[{'text': 'S024', 'type': 'text'}]		[{'text': 'AR级', 'type': 'text'}]	[{'text': '三(羟甲基)氨基甲烷质量标准', 'type': 'text'}]	[{'text': 'SPC-RM-S024', 'type': 'text'}]	['提取', '纯化']
recvfwvK5gXijk	[{'text': '药用低密度聚乙烯袋（双层）', 'type': 'text'}]	[{'text': 'PM016', 'type': 'text'}]		[{'text': '药用级', 'type': 'text'}]	[{'text': '药用低密度聚乙烯袋（双层）质量标准', 'type': 'text'}]	[{'text': 'SPC-PM-0016', 'type': 'text'}]	['提取', '合成', '纯化']
recvfwvK5g1zMe	[{'text': '药用复合膜袋', 'type': 'text'}]	[{'text': 'PM015a', 'type': 'text'}]		[{'text': '药用级', 'type': 'text'}]	[{'text': '药用复合膜袋质量标准', 'type': 'text'}]	[{'text': 'SPC-PM-0015', 'type': 'text'}]	['提取', '合成', '纯化']
recvfwvYPTUxlZ	[{'text': '索玛侧链', 'type': 'text'}]	[{'text': 'L005', 'type': 'text'}]	[{'text': '成都普康生物科技有限公司', 'type': 'text'}]	[{'text': 'N/A', 'type': 'text'}]	[{'text': '索玛侧链质量标准', 'type': 'text'}]	[{'text': 'SPC-RM-L005', 'type': 'text'}]	['合成']
recvfwvZyNztQK	[{'text': '索玛四肽', 'type': 'text'}]	[{'text': 'S001', 'type': 'text'}]	[{'text': '成都普康生物科技有限公司', 'type': 'text'}]	[{'text': 'N/A', 'type': 'text'}]	[{'text': '索玛四肽质量标准', 'type': 'text'}]	[{'text': 'SPC-RM-S001', 'type': 'text'}]	['合成']
